Epoch;Living Animals;Living Plants;Average Energy;Average of Life;Average of Children;
0;1000;2;200;0;0;
1;1000;3;199;0;0;
2;1000;4;198;0;0;
3;1000;4;197;0;0;
4;1000;6;196;0;0;
5;1000;8;195;0;0;
6;1000;10;194;0;0;
7;1001;12;193;0;0;
8;1002;13;191;0;0;
9;1003;14;190;0;0;
10;1003;16;189;0;0;
11;1003;18;188;0;0;
12;1003;18;187;0;0;
13;1003;18;186;0;0;
14;1003;19;185;0;0;
15;1004;19;184;0;0;
16;1005;21;183;0;0;
17;1006;23;182;0;0;
18;1006;23;181;0;0;
19;1007;24;180;0;0;
20;1008;26;179;0;0;
21;1008;27;178;0;0;
22;1009;28;177;0;0;
23;1011;29;175;0;0;
24;1011;31;174;0;0;
25;1012;30;173;0;0;
26;1013;32;172;0;0;
27;1013;33;171;0;0;
28;1013;35;170;0;0;
29;1014;35;169;0;0;
30;1016;37;168;0;0;
31;1016;36;167;0;0;
32;1017;38;166;0;0;
33;1018;37;165;0;0;
34;1018;38;164;0;0;
35;1018;39;163;0;0;
36;1019;39;162;0;0;
37;1020;41;161;0;0;
38;1022;41;159;0;0;
39;1024;40;158;0;0;
40;1025;42;157;0;0;
41;1027;43;156;0;0;
42;1028;42;155;0;0;
43;1029;42;154;0;0;
44;1031;43;153;0;0;
45;1033;45;151;0;0;
46;1037;46;150;0;0;
47;1043;46;148;0;0;
48;1048;47;146;0;0;
49;1052;45;145;0;0;
50;1056;45;143;0;0;
51;1062;47;142;0;0;
52;1064;47;140;0;0;
53;1065;49;139;0;0;
54;1068;49;138;0;0;
55;1069;49;137;0;0;
56;1073;48;136;0;0;
57;1076;48;134;0;0;
58;1078;49;133;0;0;
59;1080;49;132;0;0;
60;1081;51;131;0;0;
61;1085;50;129;0;0;
62;1088;49;128;0;0;
63;1089;50;127;0;0;
64;1092;52;126;0;0;
65;1094;54;125;0;0;
66;1097;56;123;0;0;
67;1098;54;122;0;0;
68;1098;55;121;59;0;
69;1099;55;120;59;0;
70;1100;55;119;59;0;
71;1101;56;118;59;0;
72;1101;57;117;59;0;
73;1101;57;116;59;0;
74;1104;56;115;59;0;
75;1104;56;114;59;0;
76;1106;55;113;59;0;
77;1107;55;112;59;0;
78;1110;56;111;59;0;
79;1112;56;110;59;0;
80;1113;55;109;59;0;
81;1114;55;108;59;0;
82;1118;55;107;59;0;
83;1119;56;105;59;0;
84;1121;55;104;59;0;
85;1124;57;103;59;0;
86;1124;59;102;59;0;
87;1124;61;101;58;0;
88;1127;62;100;58;0;
89;1125;62;99;71;0;
90;1127;62;98;71;0;
91;1128;63;97;71;0;
92;1131;63;96;71;0;
93;1133;65;95;75;0;
94;1133;65;94;75;0;
95;1133;65;93;75;0;
96;1135;64;92;75;0;
