Epoch;Living Animals;Living Plants;Average Energy;Average of Life;Average of Children;
97;1137;65;91;75;0;
98;1140;66;90;75;0;
99;1144;65;88;75;0;
100;1146;63;87;75;0;
101;1146;60;87;75;0;
102;1145;62;86;75;0;
103;1146;57;85;75;0;
104;1145;56;84;74;0;
105;1144;57;83;77;0;
106;1143;55;82;77;0;
107;1141;53;82;76;0;
108;1140;52;81;75;0;
109;1139;54;80;75;0;
110;1137;55;79;76;0;
111;1136;54;78;76;0;
112;1134;56;78;75;0;
113;1130;58;77;73;0;
114;1123;56;76;72;0;
115;1120;58;76;71;0;
116;1116;55;75;71;0;
117;1114;53;75;71;0;
118;1113;52;74;71;0;
119;1110;52;73;70;0;
120;1109;52;72;71;0;
121;1107;52;71;71;0;
122;1105;51;71;73;0;
123;1101;53;70;73;0;
124;1096;51;69;73;0;
125;1094;53;69;74;0;
126;1090;55;68;77;0;
127;1090;54;67;77;0;
128;1087;54;66;78;0;
129;1085;56;65;79;0;
130;1082;56;65;81;0;
131;1079;54;64;82;0;
132;1075;55;63;83;0;
133;1064;55;63;88;0;
134;1058;54;63;89;0;
135;1051;56;62;91;0;
136;1044;56;61;91;0;
137;1037;57;61;92;0;
138;1034;59;60;93;0;
139;1032;59;59;92;0;
140;1022;60;59;93;0;
141;1020;61;58;93;0;
142;1019;62;57;93;0;
143;1015;63;56;92;0;
144;1013;62;56;92;0;
145;1011;63;55;92;0;
146;1008;62;54;91;0;
147;1004;62;54;91;0;
148;1002;63;53;90;0;
149;996;64;52;90;0;
150;992;63;51;90;0;
151;990;61;51;90;0;
152;984;63;50;88;0;
153;981;63;49;88;0;
154;979;64;48;88;0;
155;978;64;48;88;0;
156;976;63;47;88;0;
157;975;63;46;88;0;
158;972;63;45;88;0;
159;969;64;44;89;0;
160;966;66;44;89;0;
161;959;67;43;89;0;
162;951;66;42;91;0;
163;946;67;42;92;0;
164;943;68;41;93;0;
165;937;69;40;95;0;
166;935;71;39;95;0;
167;928;71;39;97;0;
168;926;73;38;98;0;
169;918;69;38;100;0;
170;911;70;37;102;0;
171;906;70;36;103;0;
172;898;69;36;105;0;
173;892;69;35;107;0;
174;882;69;35;109;0;
175;870;71;34;112;0;
176;869;69;33;112;0;
177;867;71;32;112;0;
178;867;71;31;112;0;
179;866;67;31;112;0;
180;861;66;30;114;0;
181;857;66;29;114;0;
182;857;66;29;114;0;
183;855;66;28;115;0;
184;855;68;27;115;0;
185;853;68;26;115;0;
186;852;64;25;115;0;
187;852;65;24;115;0;
188;852;67;23;115;0;
189;852;67;22;115;0;
190;851;67;22;115;0;
191;851;68;21;115;0;
192;851;65;20;115;0;
193;850;65;19;115;0;
194;850;64;18;115;0;
195;850;65;17;115;0;
196;849;67;16;115;0;
197;849;67;15;115;0;
198;848;65;15;116;0;
199;848;64;14;116;0;
200;848;65;13;116;0;
201;220;64;51;172;0;
202;219;65;51;172;0;
203;219;66;50;172;0;
204;219;67;49;172;0;
205;218;68;48;172;0;
206;216;70;48;172;0;
207;214;71;48;172;0;
208;212;72;47;172;0;
209;211;74;47;172;0;
210;209;76;46;172;0;
211;208;78;45;172;0;
212;203;80;45;172;0;
213;202;82;45;172;0;
214;201;84;44;172;0;
215;201;86;43;172;0;
216;201;88;42;172;0;
217;199;89;41;172;0;
218;198;91;41;172;0;
219;198;92;40;172;0;
220;197;94;39;172;0;
221;196;96;38;172;0;
222;196;95;38;172;0;
223;195;97;37;172;0;
224;194;99;37;172;0;
225;193;101;36;172;0;
226;193;103;35;172;0;
227;192;103;34;172;0;
228;191;105;34;172;0;
229;191;107;33;172;0;
230;191;108;32;172;0;
231;191;110;31;172;0;
232;190;111;30;172;0;
233;190;111;30;172;0;
234;190;112;29;172;0;
235;190;114;28;172;0;
236;190;115;27;172;0;
237;190;117;26;172;0;
238;190;119;25;172;0;
239;190;120;25;172;0;
240;190;122;24;172;0;
241;190;124;23;172;0;
242;190;126;22;172;0;
243;190;128;21;172;0;
244;190;130;20;172;0;
245;190;130;19;172;0;
246;190;131;18;172;0;
247;190;132;18;172;0;
248;190;133;17;172;0;
249;190;135;16;172;0;
250;190;137;15;172;0;
251;56;138;51;182;0;
252;56;140;50;182;0;
253;56;142;49;182;0;
254;56;143;49;182;0;
255;56;145;48;182;0;
256;55;147;48;182;0;
257;55;148;47;182;0;
258;55;149;47;182;0;
259;54;150;48;182;0;
260;54;150;49;182;0;
261;53;152;49;182;0;
262;53;154;48;182;0;
263;53;156;47;182;0;
264;53;158;46;182;0;
265;53;160;45;182;0;
266;53;162;44;182;0;
267;52;164;44;182;0;
268;52;166;43;182;0;
269;51;166;45;182;0;
270;51;168;44;182;0;
271;50;170;44;182;0;
272;50;172;43;182;0;
273;48;174;43;182;0;
274;47;175;44;182;0;
275;47;177;43;182;0;
276;47;178;43;182;0;
277;47;179;43;182;0;
278;47;181;42;182;0;
279;47;183;41;182;0;
280;47;185;40;182;0;
281;47;187;39;182;0;
282;47;188;39;182;0;
283;47;190;38;182;0;
284;47;192;37;182;0;
285;47;194;36;182;0;
286;47;196;35;182;0;
287;47;198;34;182;0;
288;47;200;33;182;0;
289;47;202;32;182;0;
290;47;204;31;182;0;
291;47;205;32;182;0;
292;47;207;31;182;0;
293;47;209;30;182;0;
294;47;211;29;182;0;
295;47;213;28;182;0;
296;47;215;27;182;0;
297;47;216;27;182;0;
298;47;218;26;182;0;
299;47;220;25;182;0;
300;47;222;24;182;0;
301;17;224;65;186;0;
302;17;226;64;186;0;
303;17;228;63;186;0;
304;17;230;62;186;0;
305;17;232;61;186;0;
306;17;234;60;186;0;
307;17;236;59;186;0;
308;17;238;58;186;0;
309;17;240;57;186;0;
310;17;242;56;186;0;
311;17;243;58;186;0;
312;16;245;61;186;0;
313;16;247;60;186;0;
314;16;249;59;186;0;
315;16;251;58;186;0;
316;16;252;60;186;0;
317;16;254;59;186;0;
318;16;256;58;186;0;
319;16;258;57;186;0;
320;16;259;59;186;0;
321;16;260;61;186;0;
322;16;262;60;186;0;
323;16;264;59;186;0;
324;15;266;62;186;0;
325;15;268;61;186;0;
326;15;270;60;186;0;
327;15;272;59;186;0;
328;15;274;58;186;0;
329;15;276;57;186;0;
330;15;278;56;186;0;
331;15;280;55;186;0;
332;15;282;54;186;0;
333;15;284;53;186;0;
334;15;286;52;186;0;
335;15;288;51;186;0;
336;15;290;50;186;0;
337;15;292;49;186;0;
338;15;294;48;186;0;
339;15;296;47;186;0;
340;15;297;49;186;0;
341;15;299;48;186;0;
342;15;301;47;186;0;
343;15;303;46;186;0;
344;15;305;45;186;0;
345;15;307;44;186;0;
346;15;309;43;186;0;
347;15;311;42;186;0;
348;15;313;41;186;0;
349;15;315;40;186;0;
350;14;317;42;186;0;
351;8;319;74;187;0;
352;8;321;73;187;0;
353;8;323;72;187;0;
354;8;325;71;187;0;
355;8;327;70;187;0;
356;8;329;69;187;0;
357;8;331;68;187;0;
Average;614;112;74;111;0;
